,id,daynight,,,Lat,Lng
13:49.5,133,night,IERS2010 latitude -31.9138 N longitude -23.6658 E elevation 426813.2 m,,-31.9138,-23.6658
14:05.0,134,night,IERS2010 latitude -31.2266 N longitude -22.8801 E elevation 426468.4 m,,-31.2266,-22.8801
14:20.4,135,night,IERS2010 latitude -30.5337 N longitude -22.1066 E elevation 426123.5 m,,-30.5337,-22.1066
14:35.9,136,night,IERS2010 latitude -29.8360 N longitude -21.3454 E elevation 425779.0 m,,-29.836,-21.3454
14:51.4,137,night,IERS2010 latitude -29.1324 N longitude -20.5949 E elevation 425434.5 m,,-29.1324,-20.5949
15:06.8,138,night,IERS2010 latitude -28.4242 N longitude -19.8559 E elevation 425090.9 m,,-28.4242,-19.8559
15:22.3,139,night,IERS2010 latitude -27.7118 N longitude -19.1280 E elevation 424748.6 m,,-27.7118,-19.128
15:37.8,140,night,IERS2010 latitude -26.9944 N longitude -18.4099 E elevation 424407.2 m,,-26.9944,-18.4099
15:53.2,141,night,IERS2010 latitude -26.2721 N longitude -17.7012 E elevation 424067.2 m,,-26.2721,-17.7012
16:08.7,142,night,IERS2010 latitude -25.5461 N longitude -17.0023 E elevation 423729.1 m,,-25.5461,-17.0023
16:24.1,143,night,IERS2010 latitude -24.8161 N longitude -16.3127 E elevation 423393.1 m,,-24.8161,-16.3127
16:39.6,144,night,IERS2010 latitude -24.0822 N longitude -15.6318 E elevation 423059.3 m,,-24.0822,-15.6318
16:55.1,145,night,IERS2010 latitude -23.3442 N longitude -14.9589 E elevation 422727.9 m,,-23.3442,-14.9589
17:10.5,146,night,IERS2010 latitude -22.6030 N longitude -14.2944 E elevation 422399.6 m,,-22.603,-14.2944
17:26.0,147,night,IERS2010 latitude -21.8582 N longitude -13.6375 E elevation 422074.2 m,,-21.8582,-13.6375
17:41.5,148,night,IERS2010 latitude -21.1105 N longitude -12.9881 E elevation 421752.2 m,,-21.1105,-12.9881
17:56.9,149,night,IERS2010 latitude -20.3591 N longitude -12.3454 E elevation 421433.6 m,,-20.3591,-12.3454
18:12.4,150,night,IERS2010 latitude -19.6052 N longitude -11.7098 E elevation 421119.0 m,,-19.6052,-11.7098
18:27.9,151,night,IERS2010 latitude -18.8477 N longitude -11.0800 E elevation 420808.1 m,,-18.8477,-11.08
18:43.3,152,night,IERS2010 latitude -18.0881 N longitude -10.4568 E elevation 420501.6 m,,-18.0881,-10.4568
18:58.8,153,night,IERS2010 latitude -17.3257 N longitude -9.8392 E elevation 420199.6 m,,-17.3257,-9.8392
19:14.3,154,night,IERS2010 latitude -16.5610 N longitude -9.2273 E elevation 419902.4 m,,-16.561,-9.2273
19:29.7,155,night,IERS2010 latitude -15.7941 N longitude -8.6207 E elevation 419610.1 m,,-15.7941,-8.6207
19:45.2,156,night,IERS2010 latitude -15.0249 N longitude -8.0190 E elevation 419323.0 m,,-15.0249,-8.019
20:00.7,157,night,IERS2010 latitude -14.2542 N longitude -7.4224 E elevation 419041.3 m,,-14.2542,-7.4224
20:16.1,158,night,IERS2010 latitude -13.4810 N longitude -6.8298 E elevation 418765.0 m,,-13.481,-6.8298
20:31.6,159,night,IERS2010 latitude -12.7059 N longitude -6.2413 E elevation 418494.5 m,,-12.7059,-6.2413
20:47.1,160,night,IERS2010 latitude -11.9295 N longitude -5.6569 E elevation 418229.9 m,,-11.9295,-5.6569
21:02.5,161,night,IERS2010 latitude -11.1515 N longitude -5.0762 E elevation 417971.5 m,,-11.1515,-5.0762
21:18.0,162,night,IERS2010 latitude -10.3720 N longitude -4.4989 E elevation 417719.3 m,,-10.372,-4.4989
21:33.5,163,night,IERS2010 latitude -9.5911 N longitude -3.9247 E elevation 417473.5 m,,-9.5911,-3.9247
21:48.9,164,night,IERS2010 latitude -8.8089 N longitude -3.3532 E elevation 417234.3 m,,-8.8089,-3.3532
22:04.4,165,night,IERS2010 latitude -8.0257 N longitude -2.7845 E elevation 417001.8 m,,-8.0257,-2.7845
22:19.9,166,night,IERS2010 latitude -7.2411 N longitude -2.2180 E elevation 416776.1 m,,-7.2411,-2.218
22:35.4,167,night,IERS2010 latitude -6.4558 N longitude -1.6537 E elevation 416557.4 m,,-6.4558,-1.6537
22:50.8,168,night,IERS2010 latitude -5.6696 N longitude -1.0913 E elevation 416345.9 m,,-5.6696,-1.0913
23:06.3,169,night,IERS2010 latitude -4.8826 N longitude -0.5306 E elevation 416141.6 m,,-4.8826,-0.5306
23:21.8,170,night,IERS2010 latitude -4.0950 N longitude 0.0288 E elevation 415944.6 m,,-4.095,0.0288
23:37.2,171,night,IERS2010 latitude -3.3069 N longitude 0.5869 E elevation 415755.0 m,,-3.3069,0.5869
23:52.7,172,night,IERS2010 latitude -2.5183 N longitude 1.1441 E elevation 415573.0 m,,-2.5183,1.1441
24:08.2,173,night,IERS2010 latitude -1.7293 N longitude 1.7006 E elevation 415398.5 m,,-1.7293,1.7006
24:23.6,174,night,IERS2010 latitude -0.9402 N longitude 2.2565 E elevation 415231.8 m,,-0.9402,2.2565
24:39.1,175,night,IERS2010 latitude -0.1510 N longitude 2.8122 E elevation 415072.7 m,,-0.151,2.8122
24:54.6,176,night,IERS2010 latitude +0.6384 N longitude 3.3680 E elevation 414921.5 m,,0.6384,3.368
25:10.0,177,night,IERS2010 latitude +1.4276 N longitude 3.9238 E elevation 414778.1 m,,1.4276,3.9238
25:25.5,178,night,IERS2010 latitude +2.2168 N longitude 4.4802 E elevation 414642.5 m,,2.2168,4.4802
25:41.0,179,night,IERS2010 latitude +3.0056 N longitude 5.0371 E elevation 414514.8 m,,3.0056,5.0371
25:56.4,180,night,IERS2010 latitude +3.7940 N longitude 5.5950 E elevation 414395.1 m,,3.794,5.595
26:11.9,181,night,IERS2010 latitude +4.5821 N longitude 6.1541 E elevation 414283.3 m,,4.5821,6.1541
26:27.4,182,night,IERS2010 latitude +5.3703 N longitude 6.7150 E elevation 414179.3 m,,5.3703,6.715
26:42.9,183,night,IERS2010 latitude +6.1575 N longitude 7.2773 E elevation 414083.3 m,,6.1575,7.2773
26:58.3,184,night,IERS2010 latitude +6.9436 N longitude 7.8412 E elevation 413995.2 m,,6.9436,7.8412
27:13.8,185,night,IERS2010 latitude +7.7294 N longitude 8.4075 E elevation 413914.9 m,,7.7294,8.4075
27:29.3,186,night,IERS2010 latitude +8.5139 N longitude 8.9760 E elevation 413842.6 m,,8.5139,8.976
27:44.7,187,night,IERS2010 latitude +9.2973 N longitude 9.5470 E elevation 413778.0 m,,9.2973,9.547
28:00.2,188,night,IERS2010 latitude +10.0798 N longitude 10.1211 E elevation 413721.2 m,,10.0798,10.1211
28:15.7,189,night,IERS2010 latitude +10.8604 N longitude 10.6977 E elevation 413672.1 m,,10.8604,10.6977
28:31.1,190,night,IERS2010 latitude +11.6405 N longitude 11.2783 E elevation 413630.6 m,,11.6405,11.2783
28:46.6,191,night,IERS2010 latitude +12.4187 N longitude 11.8623 E elevation 413596.6 m,,12.4187,11.8623
29:02.0,192,night,IERS2010 latitude +13.1951 N longitude 12.4499 E elevation 413570.2 m,,13.1951,12.4499
29:17.5,193,night,IERS2010 latitude +13.9684 N longitude 13.0406 E elevation 413551.2 m,,13.9684,13.0406
29:33.0,194,night,IERS2010 latitude +14.7410 N longitude 13.6365 E elevation 413539.4 m,,14.741,13.6365
